post_url,comment_id,platform,author,comment_text,date,Views,sentiment,like,reply,
https://www.threads.com/@ddraja_02/post/DdP-FqynYMp,,Threads,ddraja_02,"Aku skrng secara naluriah ntah knpa otomatis ga suka aja lihat influencer yg positif vibes mulu begitu tapi ga pernah kontribusi speakup untuk isu yg sangat gonjang-ganjing ini..

Aku ga maksa sih,, cuma slide 2 ini lebih ke ungkapan perasaan pribadi aja.. Aneh aja rasanya..",2026-09-14T01:36:16.000Z,,,,,
https://www.threads.com/@ddraja_02/post/DdP-FqynYMp,,Threads,ddraja_02,"Haiii... Mau ikutan nimbrung di diskusi tentang Maudy ayunda..
Aku nemu beberapa pov dan sampai ke kesimpulan ini..
Isi video dia tentang mindfulness itu ga ada yg aneh².. Isinya tepat² aja.. Tapi yg lebih di highlight disini mungkin krena dia ga pernah speakup tntang isu apapun.. Sekalinya buat video malah buatnya video tentang mindfulness dan cara nyaring berita biar ga overwhelm.. Waktunya sangat tidak tepat ktika kondisi bgni + dia ga speakup + buat video itu..",2026-09-14T01:36:16.000Z,225,,,,
https://www.threads.com/@kurniawandhika/post/DdQCTkvidqg,,Threads,metapikimi,diperbaiki sasarannya bukan ditiadakan lalu uangnya lari kemana? ke MBG dan KDMP 🤧,2026-09-14T02:48:54.000Z,,,,,
https://www.threads.com/@kurniawandhika/post/DdQCTkvidqg,,Threads,kurniawandhika,"glad to see that siluman2 LPDP menampakkan wujud2 asli mereka belakangan ini.

dah lah ditiadakan aja programnya kalo cuma buat memperkaya diri sendiri doang mah.",2026-09-14T02:13:07.000Z,205,,,,
https://www.threads.com/@muammarff_/post/DdP8wwhiaci,,Threads,muammarff_,"Jadi, satu nasihat yang sangat membantu seseorang belum tentu punya efek yang sama ketika diterapkan pada orang lain. Tapi, jangan salah kaprah juga, ini juga gak berarti “semua perspektif sama-sama benar”. Ada prinsip yang memang punya dasar kebenaran. Tapi cara menerapkannya, kapan diterapkan, seberapa jauh diterapkan, dan apakah memang relevan untuk kondisi tertentu tetap membutuhkan penilaian terhadap konteks.",2026-09-14T01:24:41.000Z,,,,,
https://www.threads.com/@muammarff_/post/DdP8wwhiaci,,Threads,muammarff_,"The moral story nya bukan cuma buat Kak Maudy Ayunda. Menurut gua, ada satu hal yang sering kita lupa, sesuatu yang benar sebagai prinsip belum tentu menjadi solusi yang tepat ketika diterapkan dengan cara yang sama ke setiap orang. Kita harus sadar, manusia datang dengan kondisi, kapasitas, pengalaman, lingkungan, tanggung jawab, dan masalah yang berbeda. Perilaku manusia pun adalah sebagai hasil interaksi antara individu dan situasinya.",2026-09-14T01:24:41.000Z,46,,,,
https://www.threads.com/@fahni.fr/post/DdP8W6ykzX5,,Threads,fahni.fr,"2. Nah kita ambil misal karhutla. Wajib hukumnya kita mencegah perbuatan tersebut dg 3 tingkatan :
1. Dengan tangan : Klo tau ada yg bakar2 an kita cegah pakai ""tangan"" dan ini sebenarnya ranah pemangku kebijakan krn merekalah yg sejatinya bisa langsung stop menggunakan tangan / kekuasaan.
2. Dengan lisan : speak up. Kecam pelaku karhutla biar tidak terjadi lagi dan lagi.
3. Dengan hati : merasa tidak setuju dan membenci karhutla tsb dan ini selemah2 nya iman.",2026-09-14T01:21:09.000Z,,,,,
https://www.threads.com/@fahni.fr/post/DdP8W6ykzX5,,Threads,fahni.fr,"1. Kepada saudari Maudy Ayunda...
Utas ini aku buat kalau2 beliau itu ga paham gt knp sih tiba2 ada hujatan. Jujur aku kepo kmrn kenapa dan dah nonton vidio beliau dari awal sampai akhir. Sampai akhirnya aku berani menyimpulkan begini :

Kita sederhanakan saja ya. Di dunia ini setiap orang apalgi muslim/ah wajib hukumnya melakukan Amar Ma'ruf Nahi Munkar artinya dalam bahasa Indonesianya mengajak kepada kebaikan dan mencegah perbuatan buruk atau munkar.",2026-09-14T01:21:09.000Z,362,,,,
https://www.threads.com/@leira_mar/post/DdP_4sbmP44,,Threads,leira_mar,"Awalnya kami juga sabar, mencoba menerima, membatasi berita, dan tetap menjalani hari seperti biasa.

Tapi ketika hampir dua bulan berlalu dan keadaan tidak kunjung membaik, tentu ada titik di mana rasa lelah, marah, dan kecewa muncul.

Bukan karena terlalu banyak mengonsumsi berita negatif. Tapi karena realitasnya memang sedang tidak baik-baik saja.",2026-09-14T01:51:59.000Z,,,,,
https://www.threads.com/@leira_mar/post/DdP_4sbmP44,,Threads,leira_mar,"Kak Maudy Ayunda, aku paham maksud tentang mindfulness dan bagaimana kita sebaiknya lebih intentional dalam mencerna berita. Tapi mungkin konteksnya sedikit berbeda untuk kami yang sedang di Kalimantan.

Dua bulan itu rasanya lama sekali. Anak-anak tidak bisa bebas keluar rumah untuk beraktivitas, sekolah pun harus online.

Mindfulness itu penting, tapi menurutku konteksnya berbeda ketika kita bukan hanya membaca tentang sebuah masalah kita hidup di dalam masalahnya setiap hari.",2026-09-14T01:51:59.000Z,107,,,,
https://www.threads.com/@yepppwithkei/post/DdQBXMcn3gR,,Threads,fgg.maxwells,Kita ga akan pernah bisa jadi maudy ayunda ya 😩,2026-09-14T02:16:09.000Z,,,,,
