post_url,comment_id,platform,author,comment_text,date,Views,sentiment,like,reply
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,afterstargazing,dan tentu aja (not surprised) mereka adalah pendukung prabowo garis keras😇,2026-09-15T06:41:07.000Z,,,64,6
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,aks.bum,"gak bisa mengendalikan pemerintah, pantes orng kyk prabowo cs PD bgt berbuat semena², orang rakyatnya yg katanya ""berpendidikan"" lebih milih ngebiarin drpd ngeritik. Beda bgt sm negara lain yg maju, pemerintahnya hati-hati krn rakyatnya beneran pintar bukan cuma ""katanya"" bkl memberontak kl macem².",2026-09-15T05:24:46.000Z,,,43,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,goddezzzs,"""Ga semua politik keleus"".
NO. EVERYTHING IS POLITICAL.
kamu ga bisa dapet udara bersih, itu POLITIK.
kamu ga bisa dapet air bersih, itu POLITIK.",2026-09-15T07:46:50.000Z,,,23,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,rifqi_adlan,gua tambahin list nya,2026-09-15T07:21:48.000Z,,,11,2
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,rainy.blues13,"Mrk bukan mindfulness, btw. Mrk ini cherrypicking. Conscious ignorance. Mindfulness yg bener justru ngajarin kita memahami kerja otak n jiwa jd paham apa yg harus dilakukan oleh diri sambi ttp memelihara empati pada sesama. Mindfulness yg bener ngajarin kita utk berjejaring benerin keadaan bareng2. Krn mental health itu public health issues. Kalo baseline condition nya aja dystopian, gimana bisa sehat jiwa raga.",2026-09-15T08:38:13.000Z,,,10,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,bhektiputri,"Aku kadang skip berita soal pemerintah, emang bikin emosi, mual, muak.. tp lebih srg jg aku repost2, apalagi soal bencana.. krn cuma itu yg bs aku bantu. Repost2. Biar beritanya ga tenggelam, ke up trs.",2026-09-15T07:11:47.000Z,,,10,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,isnan_scumbag,"Setuju ,jangan di balas ,cukup block dan report aja",2026-09-15T05:20:05.000Z,,,8,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,dianaayyp,Kek ini ya kak,2026-09-15T06:56:25.000Z,,,4,2
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,cicioktaf,"Aku juga suka skip berita kaya korupsi atau yg pas rame2 megathrust dan tas bencana.
Buat aku sendiri blm perlu tas bencana, bukan ga takut bencana, tapi ngerasa aku takut malah jadi ovt kl ada tas itu. Tp opini ini selama ini aku simpan untuk aku sendiri.
Opini maudy ga salah kl ditujukannya buat audience yg berasal dr satu lingkungan yg sama dg maudy.
Tapi bad news akhir2 ini tuh beneran menyangkut issue orang banyak, bbm naik dan langka, beras mahal, gempa, karhutla. Masa harus mindfulness🥲",2026-09-15T08:36:01.000Z,,,4,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,dydellaa,Siwi katanya udah setahun nerapin minfulness tapi kok masih nimbrung😭 harusnya kan tinggal skip aja,2026-09-15T10:28:11.000Z,,,1,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,maulikasuryani,Eh sama.. block ..block..block. Gitu kan mindfulness 🫣,2026-09-15T07:14:09.000Z,,,3,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,its_melouisa,"Kecurigaan gw bahwa pembela Maudy Ayunda adalah pendukung Prabowo, terjawab sudah di sini 😂😄",2026-09-15T08:59:16.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,kevinagustin.10,"btw klo maudy beneran pake buzzer terkait hal ini, konspirasi menurut keyakinan saya dia dukung pihak mana ya 🫣",2026-09-15T11:03:00.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,levionce,Inilah waktunya mempraktekan mindfulness (ngeblock centang biru maksudnya),2026-09-15T11:09:06.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,yellowflwee,"Emang susah sih buat memilah mana yg harus di share mana yg ga, bahkan yg punya ""stanford brain"" pun masih harus belajar
Ini bisa jadi pembelajaran buat doi dan buat kita semua",2026-09-15T04:56:31.000Z,,,2,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,upaaunna,"Duh maaf oot. Klo ngetik nama tuh gatel bgt mataku klo ga pake huruf kapital di hruf pertamanya 😅😭

But, terganggu dg ""gabisa mengendalikan pemerintah"" Ya gabisa kalo orang2 kaya anda itu ga bereaksi dg kedzaliman mereka alias diem aja. Protes harusnya kan. Bersatu. Bukan malah mengecilkan yg lainnya. Ngomong, protes gt kek, itu tuh udh usaha kecil yg pasti bisa anda lakukan loh kak. 🙂 jangan diem!",2026-09-15T07:14:53.000Z,,,2,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,tiaradh_17,"Mindfulness (mereka)= Silent Majority.
Kumpulan orang-orang tone deaf.",2026-09-15T07:33:38.000Z,,,2,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,vanyanomadic,"@siwisartika_ inget ya, lo ga seasik itu.",2026-09-15T08:15:24.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,katishaputri,Sama aku juga langsung report kalo ada buzzernya. Ngeyelnya udah kaya buzzer pribiwi.,2026-09-15T10:37:56.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,iammacheesefans,"Gue gak kenal sama semua centang biru itu. Btw si okto okto itu keliatan tululnya, ga bisa bales opini langsung keluar jurus pamungkas ""Ga semua harus politik"" wkwkwkwkwk🤣🤣🤣🤣",2026-09-15T10:00:06.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,alanpramugi79,"Iyalah kita harus tetap mindful kalo anak mereka (yang difoto) keracunan atau rumah mereka kebakaran.

Bedakan mindful sama ga peduli",2026-09-15T07:31:57.000Z,,,1,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,agth.myg,Ini mereka bajerrrr bukan sih? Sama gue sampe capek ngereport block mereka2 itu. Banyakkkk bangetttttt 💆🏻‍♀️,2026-09-15T07:32:55.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,zor_ro2020,"Aku yg mlh bingung. Aku tipe orang yg ttp aware dg berbagai perilaku aneh rezim itu, bersuara dmn bisa. Tp ngapain jg hrs dibawa ke hati bgt sp sengsara diri sendiri, sp stress pula. Udah di fase speechles lht rezim ini tp jgn stop bersuara. Dan jgn pula biarkan rezim ini merusak hidup lo, karya lo",2026-09-15T08:11:28.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,laksmichandrika,Narasinya sama: ga ada yg salah.,2026-09-15T07:28:12.000Z,,,1,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,mogi.tama,"""Ya ga semua semuanya politik keleus""

Does he pretending or he actually doesn't know?",2026-09-15T08:17:46.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,r_adikusumo,Biasakan berkata kasar ke pembela dan Rezim Prabodoh Subiantolol ;)),2026-09-15T08:43:46.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,idhabukanida,ya mereka buzzer @maudyayunda maklum sama2 stres,2026-09-15T10:50:00.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,michiamo_henny,Block atau pilih not interested,2026-09-15T06:25:29.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,wannafeelyours,"aku jg ada akun2 goblok gt, drpd berdebat banyak, aku block aja. anggep aja seleksi alam",2026-09-15T06:47:42.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,futurewithvy,"Benerrrr. Rame rame diblok dan report akun mereka, tambah stress ngeliat manusia kaya gitu 😭",2026-09-15T09:21:30.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,birskruth,Mari lakukan itu,2026-09-15T06:45:31.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,rn.tara1453,"mereka buzzer kaya nya kak. postingannya bnyk yg senada, terus ada beberapa jg yg beneran barengan up post membelanya. kocak",2026-09-15T07:06:35.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,widowati_maisarah,Samaaaa..!,2026-09-15T05:56:08.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,nonerie,Gak bisa mengendalikan pemerintah? Dia tinggal di kerajaan mana? Bukan demokrasi pasti.,2026-09-15T07:43:41.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,bau_matahari12,Sepakat 🤝,2026-09-15T06:39:53.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,sunraysss_28,Rakjel gaada niatan sekalipun buat mengendalikan pemerintah. Rakjel melakukan apa yang mereka bisa lakukan yaitu SPEAK UP mengenai nasib warga yang lagi banyak mengalami bencana,2026-09-15T06:37:38.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,kucinkmullet,asli pada goblok banget nalarnya itu,2026-09-15T07:08:52.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,macadamiansublime,Antara cari makan di kubangan rezim skrg atau pure tolol.,2026-09-15T07:50:00.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,budhemasakini,"Ampunnn si okto kek jamur sporadis dimana2 dia ada belain princess bubble, niat banget ya",2026-09-15T08:00:31.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,activizh,"Asli goblok banget masa katanya ""kita gabisa mengendalikan orang lain apalagi pemerintah"".",2026-09-15T06:43:55.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,in_griani,"terima kasih, langsung block n' report... biar gak menggangu timeline ku....",2026-09-15T07:11:53.000Z,,,0,0
https://www.threads.com/@afterstargazing/post/DdS44SlEk_7,,Threads,afterstargazing,mencoba tetap mindful dengan cara ngeblock akun2 centang biru semacam ini💆‍♀️🧘‍♀️,2026-09-15T04:48:28.000Z,,,314,57
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,adymuhammadihsan,"Bikin pembelaan kek gini malah makin memperjelas positioning mba ma itu emang udah salah sejak awal di kontennya. Bisa""nya dia memposisikan dirinya sebagai orang yang tidak berdaya padahal dia punya relasi sama rezim, resource sama platform gede buat menyuarakan keresahan kaum rentan, eh bukannya dipake kek gitu malah meng-encourage followers nya buat ngejauhin bad news yang padahal bad news nya itu sendiri juga jadi bad reality bagi yang terdampak",2026-09-15T07:21:53.000Z,,,10,2
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,eresteyu,"Bikin akun baru cuma buat belain dia? Buzzer? Kalau iya, pintar-pintar ya buzzer sekarang. Tapi anehnya orang pinter kok mau gitu jadi buzzer.",2026-09-15T07:57:19.000Z,,,3,1
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,ramadhan_pu3,"Gini loh kak, konten dia itu cocok untuk orang yg TIDAK TERDAMPAK, kita boleh ko untuk mindfullness tapi gaush diutarakan lah, ibarat tetangga lagi kebakaran trus kamu bilang ke yg lain,""udh gaush di pikirin nanti km stress,udh biarin aja ya demi kesehatan mental mu"" nah kira kira nih Klo itu tetangga denger km ngomong gitu ke orang lain perasaan si tetangga gimna ya? Sedih ga ya?",2026-09-15T08:42:16.000Z,,,1,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,ingo.cherza,"Gw bingung, nyari nyari definisi mindfulness yg keluar malah kebalikan dari yg dia bahas. Tujuan dia tuh ngajak mindfulness atau apatis berkedok mindfulness???
Yang harusnya kita lebih peka sama keadaan sekarang malah nyebut bad reality sbg bad news yg merusak mood dan diskip, ini blunder apa gimana???",2026-09-15T09:09:43.000Z,,,3,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,eelizabethn11,"Memang sad, tp jd paham kan. Kalo udah jadi public figure yg exposurenya gede, pinter aja ga cukup, kudu paham timing, positioning, dan di forum apa lu harus bicara apa. Ya disitu letak salahnya dia. Intelegensi 1 - Empati 0.",2026-09-15T08:52:02.000Z,,,2,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,lrwslrwslrws,"The problem is: feeling overwhelmed, feeling tired dari semua bad news itu wajar dan manusiawi. Yang jadi masalah adalah: she’s public figure, she’s smart (kata orang), penerima LPDP dan kuliah di Oxford & Stanford, masa iya gak berpikir panjang untun posting sesuatu yang dianggap tidak relevan dengan situasi dan kondisi saat ini seperti bencana alam, karhutla, ditambah bad policy pemerintah.
⬇️",2026-09-15T09:48:18.000Z,,,2,1
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,ebon_ju,jujur sebagai penggemar taylor gswift agak kecewa sih pas lo ngomong maudy ayunda dengan followernya yang berjuta juta itu dengan entengnya ngomong tidak berdaya.,2026-09-15T08:37:39.000Z,,,1,1
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,ranay.id,"Susah lah nitijen ini, org ngevlog soal mindset mesti sambil miskin baru approved or way better flexing tas hermes dkk & jalan2 ke eropa aja tanpa bahas2 mindfullness 😁 pasti aman lol",2026-09-15T08:57:35.000Z,,,1,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,rcd_adr10,"Harusnya ga usah dijabanin, ini kan bukti kalo banyak orang tolol disini. Kalo orang tolol itu emang berisik jadi diemin aja. Ga ada yg perlu diklarifikasi. Percuma mau jelasin apa juga, mereka kan udah seneng dan enjoy atas ketololan mereka🤪🤪",2026-09-15T07:46:35.000Z,,,1,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,apaajabodoah,"Aku rinciin ya alasan beliau ini dihujat:

1. Beliau penerima beasiswa lpdp
2. Beliau menggunakan bahan yang sumbernya dari Kalimantan untuk produk yg beliau buat
3. Tidak ada ‘visible actions’ untuk damages yg sedang terjadi di Indonesia while beliau punya privilege untuk bersuara
4. Memiliki energi yang tersedia untuk membuat ‘mindfulness content’ daripada bersuara untuk damages yang terjadi di Indonesia.

Silakan ditambahkan warga.",2026-09-15T09:58:57.000Z,,,0,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,masbro.kapibara,Kami bukan orang yang nerima bad news. Kami aktor utama dari bad news yang dibaca maudy tersebut. Gimana cara kami mindfull ya?,2026-09-15T08:25:04.000Z,,,0,2
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,saikajik,"Dia INFLUENCER, kan? Itu power untuk bisa berbuat banyak, kalau saya bilang tak berdaya, bisa, sedang dalam posisi tak berdaya pun saya tetap ingin memberikan suara agar orang-orang yang sebiji dua biji yang membaca tahu bahwa satu suara kecil jika banyak dilakukan mungkin saja membuat gaung hingga beberapa hal bisa diperbaiki.",2026-09-15T09:13:57.000Z,,,0,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,near_0701,"Lu tau gak si benang merahnya apa ? Lu tau gak si apa yg bikin netizen geram,. Marah karna konten dia ?",2026-09-15T08:01:56.000Z,,,0,1
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,jipangeztu,"Nope, katakan itu di kalanganmu, jangan di publik, dari banyaknya komen negatif harusnya tahu kan bahwa rata² orang tidak hanya melihat ""Bad news"" melainkan ""Bad reality"" , padahal jika dia membuat konten membantu seperti donasi, maka itu akan jadi ""good news"" dari kumpulan ""bad news""",2026-09-15T09:38:50.000Z,,,0,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,raceintears,oohh yeaahh so saddd for the influencer gave us some minfulnes tips while also room tour and eat mention that fkin expensive breakfast whilee calling political problems as BaD NewSs omGgGgg,2026-09-15T09:50:17.000Z,,,0,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,mzacharias_1578,This bitch is basically asking to get raped,2026-09-15T08:56:28.000Z,,,0,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,pixelated.20,Wiping someone else arses are now becoming a job,2026-09-15T08:38:47.000Z,,,0,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,baimoceans,Too good for netizen indo,2026-09-15T08:04:38.000Z,,,0,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,luthfir180891,"Anda dapat beasiswa dari LPDP itu makna nya anda sepaket dengan rasa Kepedulian terhadap situasi yang terjadi di Negeri ini, masa duit pajak rakyat yang dipakai buat biayain kuliah anda tapi anda nya bersikap avoidant 🙏",2026-09-15T10:04:47.000Z,,,0,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,n0w0rnever,"Situasi konoha lagi ga baik baik saja bagi kebanyakan org, byk yg harus struggle dlm upaya utk mencukupi hidupnya, jadi dibutuhkan banget kepekaan dan kecerdasan pikiran buat faham dan mengerti akan apa yg lagi berlangsung, sekiranya ga bisa membantu menyuarakan keresahan ya mending diam saja itu lebih baik",2026-09-15T09:23:23.000Z,,,0,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,awearx,"Tak berdaya??? Lah ini semua bencana kan ulah pemerintah ini sesuatu yg bisa di rubah, lebay bngt lu sampai ga berdaya. Women ☕️",2026-09-15T08:55:05.000Z,,,0,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,pacejawa0,Udah ya semakin dibela semakin kena hujat Maudy. Mending diem bae.,2026-09-15T10:25:05.000Z,,,0,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,arafatmanalu_28,"Ternyata desa malah membuat kami lebih dekat dengan realitas kelas bawah. ""Kami kira sedang turun kelas. Ternyata, kami sedang naik kelas."" ""Mindful bukan cuma belajar ketenangan. Mindful adalah sadar bahwa dampak dari kezaliman itu sedemikian pahit dan sadar kapan kita tidak boleh diam."" ~Omah Sebumi",2026-09-15T09:58:51.000Z,,,0,0
https://www.threads.com/@swiftie_girlss/post/DdTJFV0k65N,,Threads,swiftie_girlss,"Habis nntn konten ini,,jdi sad aja sama isi komentar d akun Maudy yang penuh cacian.
Dia bukan ngajak kalian tutup mata utk semua bad news
Singkatnya ,,dia bagi perspektif buat orang yang merasa tidak berdaya untuk mengatasi berbagai persoalan yang serius.
Mungkin kamu bukan orang yang terima bad News dan berpikir utk cari solusi,,kalau memang bgtu,,tdak prlu tersinggung.
Tidak menyinggung masyarakat yang terdampak langsung, konteksnya adalah utk orang yg tdk berdaya atas hal buruk yg trjdi",2026-09-15T07:10:04.000Z,,,32,44
https://www.threads.com/@missguidez/post/DdTOvQMFLUF,,Threads,awakenedboy24,"Kali aja dia ikut wejangan nyai maudy ayunda, mindfulness 😌😌
And you are the bad news 😭😭",2026-09-15T08:57:07.000Z,,,14,1
https://www.threads.com/@missguidez/post/DdTOvQMFLUF,,Threads,traveloops_,Karena (mungkin) kamu merusak ke-mindfulness-an mereka kak. 😐,2026-09-15T09:08:33.000Z,,,11,1
https://www.threads.com/@missguidez/post/DdTOvQMFLUF,,Threads,isaikkkkkk,Supaya mindfulness ya kak di era bad news,2026-09-15T09:02:06.000Z,,,10,1
