post_url,comment_id,platform,author,comment_text,date,Views,sentiment,like,reply
https://www.youtube.com/watch?v=r1DSH9AQXLU,UgxY_BpJpLIOPR90ZvN4AaABAg,Youtube,@musikasik6238,"Kayanya kaka diem aja deh, jangan memperburuk suasana ga sih",16 seconds ago,,,,0
https://www.youtube.com/watch?v=r1DSH9AQXLU,Ugw981QrrTplek3ftm54AaABAg,Youtube,@Qjourney16,JEJAK DIGITAL,31 seconds ago,,,,0
https://www.youtube.com/watch?v=r1DSH9AQXLU,UgzBTweUpNAPjPHXItd4AaABAg,Youtube,@mutiaanggraini5114,"Gw nonton video ini sambil ngehirup asap karhutla dan kena pemadaman listrik. Gw gabisa ngeskip itu karna itu terjadi sama gw, beda sama yg ga mengalami (kayak kamu), bagi kmu itu cuma berita yg bisa di skip.

Kak maudy, menurutku, ini harusnya cukup buat dirimu sendiri. Video ini kayak isi hati dan kepalamu yg ga seharusnya keluar, muncul ke publik. Kmu bisa filter tl atau beralih ke your other social media acc tanpa harus koar2 ""cape bgt denger berita jelek trus"", jangan ngajak org2 ngefilter berita buruk. 

Kak, plis, kejadian yg menimpa negara kita akhir2 ini tuh gabisa diabaikan. Kita justru harus semakin bersuara untuk mendapat keadilan sebanyak mungkin. Kalo semua2nya ngeskip bad news, kami yg terdampak ini gimana??? Kak maudy sbg org yg cerdas pasti tahu kalo mitigasi bencana di indonesia tuh jelek banget, tanggap daruratnya pun kurang lebih sama. Laluu kalo dari atasnya gabisa diharapin, kami harus berharap ke siapa lagi selain tokoh publik yg punya power untuk menyuarakan peristiwa yg sedang terjadi???

Kakk, bad news yg kmu anggap mengganggu, bagi org2 yg terdampak tu jauhhh lbh mengganggu:)",1 minute ago,,,,0
https://www.youtube.com/watch?v=r1DSH9AQXLU,UgxnPz_iZ2H0v4JscpJ4AaABAg,Youtube,@jennybear1825,"No need to watch the video.
Here's the summary: I am not able to relax because you guys are suffering and spreading negativity. Here are some tips to learn how to chill so I can enjoy my comfortable life that you guys have disturbed.

Can't believe algo recommended this video to me and reminding myself the many insensitive, lack-of-common-sense people in the world.",1 minute ago,,,,0
https://www.youtube.com/watch?v=r1DSH9AQXLU,UgzLXBjGn3hqldUVlmV4AaABAg,Youtube,@ellyhime6454,pantesan lu dihujat,6 minutes ago,,,,0
https://www.youtube.com/watch?v=r1DSH9AQXLU,Ugy4CwZiZTNkqK1fODB4AaABAg,Youtube,@dwgxxx,"NEVER LISTEN A BULSHIT FROM SOMEONE WHO BORN WITH PRIVILEGE!!!! SOK NGASI MOTIVASI LU IDUP GAK PERNAH SUSAH JANGAN SOK NGASI MOTIVASI LO LO GAK PERNAH MISKIN GAK PERNAH NGERASAAINN GAK PUNYA DUID, LU KAYA LU HIDUP DI TEMPAT ENAK GAMPANG BILANG MINDFULNESS, MEMANG DUTA TONE DEAF INI HARUS KENA CANCEL BARU NGERTI LO. SARAN GW JANGAN SOK PUITIS SOK MOTIVATOR DEH BUAT KONTEN LAIN GIH!!!",7 minutes ago,,,,0
https://www.youtube.com/watch?v=r1DSH9AQXLU,UgwGTFw_7Zk-RXcxxqF4AaABAg,Youtube,@diyahdysa7518,"Katanya dulu dpat lpdp ya, mana kontribusinya?",8 minutes ago,,,,0
https://www.youtube.com/watch?v=r1DSH9AQXLU,Ugx8_YWyBtOzM7GOkEd4AaABAg,Youtube,@AhmadRevandiii-nz5ws,"mindfulness : tone deaf
#kaburajadulu : ......? 
what a mindset!?",8 minutes ago,,,,0
https://www.youtube.com/watch?v=r1DSH9AQXLU,UgzSUe8y42UXUksOAf54AaABAg,Youtube,@bonetmycat9988,Duh pragmatis banget kak,9 minutes ago,,,,0
https://www.youtube.com/watch?v=r1DSH9AQXLU,UgxeXGmNHRg-KKIhhEl4AaABAg,Youtube,@aishalucrenz7396,"If being tone deaf is on Olympics, you are the longstanding winner. Congrats.",10 minutes ago,,,,0
