url,platform,account_name,followers,date_posted,description,content_type,views,likes,replies,retweet/repost
https://www.threads.com/@presiden.netizen.indonesia2/post/DdPfQwXk6mP,Threads,presiden.netizen.indonesia2,,"9/13/2026, 9:06:54 PM","Teruntuk @maudyayunda, jadi gini :

1. Muka lu kagak cakep, stop berasa cantik pasang muka2 gemes depan kamera. 
2. Ganti nama session Maudy’s Thought lu itu jadi Maudy’s T0L0L Thought
3. Lo gak punya empati terhadap rakyat kecil
4. Dari 3 alasan diatas itu udh cukup buat banyak orang muntah liat lu muncul di publik

selamat meninggalkan jejak history Apatis & No Empathy di negara ini 🇮🇩😘
kasian deh otw di Cancel Culture massal🤭",Post,,12522,1041,698
https://www.threads.com/@alifiaaa_/post/DdOeSh8AbJn,Threads,alifiaaa_,,"9/13/2026, 11:39:10 AM","Jadi buat Maudy Ayunda, kejadian Bayi meninggal karena asap karhut, siswa meninggal keracunan MBG, hutan rusak dibakar, cuma sekedar berita yang menggangu mindfulness ya? Tone deaf final siss!",Post,,20701,1007,1829
https://www.threads.com/@josephinefifin/post/DdILqXNkpzw,Threads,josephinefifin,,"9/11/2026, 1:00:57 AM","guys boleh dong spill dapur kalian, let's inspire each other",Post,,4490,970,549
https://www.threads.com/@maudyayunda/post/CuXAZINy0jG,Threads,maudyayunda,,"7/6/2023, 2:35:34 PM",Making some content for youtube tomorrow. What should I talk about?,Post,,2470,665,20
https://www.threads.com/@findbyfii/post/DdOZd0jEkVL,Threads,findbyfii,,"9/13/2026, 10:57:01 AM",kalian yg ditinggal meninggal salah satu atau kedua ortu udah bertahun-tahun masih tetep nangis gak kalo kangen?,Post,,644,554,29
https://www.threads.com/@hendriysrgh_/post/DdPHBcjkvLg,Threads,hendriysrgh_,,"9/13/2026, 5:35:06 PM","Maudy Ayunda 
Story tapi teler. Dan Edu tapi Kotor. 

Merasa terlalu pintar namun minim empati",Post,,5672,455,233
https://www.threads.com/@seserahan.bysamawa/post/DdM2f_skjcj,Threads,seserahan.bysamawa,,"9/12/2026, 8:32:14 PM","Owner brand skincare pakai buah merah asal Papua tapi ownernya gk speak up apapun tentang Papua. Boro-boro kerusakan yang lain. Faktanya, cuman butuh duit dari kita-kita doang. Dih.",Post,,18486,374,976
https://www.threads.com/@ellieanoree/post/DdO81T1k0x1,Threads,ellieanoree,,"9/13/2026, 4:06:04 PM","Aku udah nonton full video maudy. 

Diawali dengan dia breakfast dengan buah alpukat, 3 buah telur omega dan cottage cheese. 

Oke dari sini aja udah beda kelas. Seumur hidup ngga pernah makan cottage cheese. (Maap norak).

Lanjut dia bahas “gimana sih cara mindfulness di tengah banyaknya bad news?” 

Intinya kalau versi Maudy:
1. Batasi window time ngeliat berita
2. Pilih berita yang emang kredibel dan nuance
3. Fokus ke apa yang bisa kita kontrol
4. Maudy biasanya baca berita di malam hari..",Post,,3709,332,171
https://www.threads.com/@gandhifernando/post/DdP4HRzAWcm,Threads,gandhifernando,,"9/14/2026, 12:48:19 AM","Baru selesai nonton video yt nya. Padahal jelas bgt maksud dia itu gimana. Bukannya mindfullness = nirempati/tone deaf. Tp bagaimana mencerna berita2 yg dikurasi dlm window2 tertentu aja, kalo ga stress cuy.

Banyak media bodong yg cuma bikin org tambah marah. Kl seharian setiap hari konsumsi berita yg negetif terus, it really created negativity in your life. Krn skrg video menghadapi situasi dgn mindfullness gini aja lgsg berubah jd negatif. Cobalah bercermin.",Post,,746,290,71
https://www.threads.com/@narasivisual.nv/post/DdPzZomE91x,Threads,narasivisual.nv,,"9/14/2026, 12:02:53 AM","Jujur, yang bikin kami penasaran bukan isi videonya sendiri, melainkan fakta bahwa video Maudy yang baru 100k views di YouTube bisa sampai dihujat jutaan orang di berbagai medsos…

Setelah nonton, isinya memang menurut kami cukup divisive.

1. Kemasannya salah alamat:

Format video cozy vlog. Sarapan santai pakai cottage cheese sambil ngukur takaran protein harian, tapi disajikan buat audiens yang lagi kalang kabut buat jaga dapurnya tetap ngebul.",Post,,3040,246,267
