url,platform,account_name,followers,date_posted,description,content_type,views,likes,replies,retweet/repost
https://www.threads.com/@giong_are_giovani/post/DdQ1sW0nzP-,Threads,giong_are_giovani,,"9/14/2026, 9:42:09 AM","Pernah dengar pepatah kalau jalan menuju kehancuran seringkali dibangun menggunakan niat yang baik?

Kasus Maudy Ayunda yang dihujat habis-habisan gara-gara konten mindfulness-nya adalah contoh paling nyata dari tragedi ini. Niatnya murni ingin jadi penyembuh di tengah krisis, tapi dia malah berakhir menjadi antagonis di mata masyarakat akar rumput. Di utas ini, mari kita bedah tragedi psikologis dari apa yang disebut sebagai jebakan Privilege Blindness.",post,,,995,
https://www.threads.com/@gome_endigo/post/DdPyZkBj13_,Threads,gome_endigo,,"9/13/2026, 11:54:08 PM",Yang nyinyir sama Maudy Ayunda itu mayoritas orang-orang yang nasibnya ga seindah Maudy. Orang-orang Minta respon terhadap kebakaran hutan emang kalo dia speak up kebakarannya padam? Kalian cuma ngebacot di sosmed minimal separuh gaji kalian di kumpulkan buat nyumbang untuk warga Kalimantan,post,,,870,
https://www.threads.com/@americanoat1pm/post/DdRYhfpklDg,Threads,americanoat1pm,,"9/14/2026, 2:46:30 PM","Bukan maksudnya menggurui
Tapi kalau kamu merasa ada yang salah sama cara berpikirnya Maudy Ayunda. Ya kamu itu belum ada di levelnya dia
Maudy Ayunda itu mau ngajak kalian untuk naik level
Kalau kalian merasa itu ga cocok sama kalian ya berarti you know which level are you",post,,,657,
https://www.threads.com/@michiamo_henny/post/DdSlMRACYvr,Threads,michiamo_henny,,"9/15/2026, 1:56:26 AM",Jurnalist minta maaf ke Maudy Ayunda kalau ada berita yg d anggap buruk🤭,post,,,459,
https://www.threads.com/@hallolalalah/post/DdS6SqRmOZ0,Threads,hallolalalah,,"9/15/2026, 5:00:49 AM","Cinta Laura: “Dia itu anak orang kaya banget, nggak perlu beasiswa... tapi orang ini dapat beasiswa dari negara. Aku nggak akan sebut siapa.”

Di podcast Kemal Palevi, Cinta Laura cerita soal kenalannya yang mendapat beasiswa meski berasal dari keluarga yang sangat mampu.",post,,,443,
https://www.threads.com/@ariq_nauffal/post/DdTPcQ_iQdN,Threads,ariq_nauffal,,"9/15/2026, 8:05:38 AM","Setelah nonton, gw makin ga paham knp dia di hujat. Kayaknya masyarakat emang lagi sensitif aja dan nyari pelampiasan amarah akan kesialan hidup mereka. Enak banget emang ngatain orang/pemerintah daripada mikir knp mereka berakhir sebagai pecundang.",post,,,360,
https://www.threads.com/@mudaberceritalk/post/DdOw7k6iUmk,Threads,mudaberceritalk,,"9/13/2026, 2:22:22 PM","Maudy Ayunda pernah bikin heboh satu Indonesia cuma gara-gara video 5 detik. Dari sekadar obrolan santai, tiba-tiba berubah jadi polemik nasional yang bikin netizen debat kusir berhari-hari.

Waktu itu Maudy ikutan sesi rapid fire question seru-seruan di TikTok Felicia Tjiasaka. Formatnya jelas: pertanyaan kilat yang wajib dijawab cepat tanpa sempat mikir panjang.

Salah satu pertanyaannya:

“Kalau jadi Menteri Pendidikan, apa yang bakal kamu lakuin?”",post,,,306,
https://www.threads.com/@dannpgwk/post/DdS-ZdzmkpF,Threads,dannpgwk,,"9/15/2026, 5:36:42 AM","Cuman mau kasi tau, Ini demo Besar 'TOLAK MBG' di Wamena hari ini. Cuman tdk diliput media mainstream.",post,,,165,
https://www.threads.com/@adityawrmaan/post/DdRWIjGmvoL,Threads,adityawrmaan,,"9/14/2026, 2:25:37 PM","Terima kasih kak sherina telah peduli lingkungan indonesia, kagak kayak yang onoh si paling mindful",post,,,129,
https://www.threads.com/@candraadiputra/post/DdSlREgmBdt,Threads,candraadiputra,,"9/15/2026, 1:57:06 AM","Save maudy Ayunda dari kebodohan netizen yang merasa paling benar. Yang merasa paling pinter dan netizen thread para pembenci pemerintah

Saya dukung Muady Ayunda. 

Kamu?",post,,,123,
https://www.threads.com/@agung_joko/post/DdTHY_yAVON,Threads,agung_joko,,"9/15/2026, 6:55:16 AM","Orang yang ngetawain dan ngejokes tentang Maudy Ayunda mungkin dia blm ketemu langsung. Sebaik dan sehumble itu dia sama orang baru, salah satunya ke gw yg awalnya gw fans sama dia malah bisa jadi temen. Semua yg udh ketemu dia pasti sependapat sama gw",post,,,111,
https://www.threads.com/@sossisagaya/post/DdShA0ymXPS,Threads,sossisagaya,,"9/15/2026, 1:19:55 AM","Telur 1 biasa
Telur 2 istimewa
Telur 3 Maudy Ayunda",post,,,81,
https://www.threads.com/@notrobss1/post/DdTNU7IIC2i,Threads,notrobss1,,"9/15/2026, 7:47:09 AM","flirting jago, ngobrol nyambung, becanda se jokes, tapi sahabatan. GOKILLLLLLL",post,,,79,
https://www.threads.com/@leo_edw/post/DdS7sj9mGRu,Threads,leo_edw,,"9/15/2026, 5:13:05 AM","Gila ini titik api sampai detik ini pun masih banyak banget.. Pontianak AQI udah 1000+.. keluargaku masih banyak di sana. Pagi udah kayak sore, sekolah full online, tapi air pam air asin udah sebulan. 

Lihat gambar 2, di TN Tanjung Puting aja titik apinya sebanyak itu. Orangutan udah kelihangan 60% habitatnya. Very sad news.  Pray for Kalimantan😭😭😭💔💔💔",post,,,68,
