url,platform,account_name,followers,date_posted,description,content_type,views,likes,replies/comments,retweet/repost,share
https://www.tiktok.com/@dumpxco/video/7684918432491474184,Tiktok,dumpxco,,2026-09-13T07:28:31.000Z,"maudy tonedeaf?
#maudyayunda #keluarga #pasangan #Relationship #fyp ",Video,648362,"26,762",82,,956
https://www.tiktok.com/@dumpxco/video/7684983511375269128,Tiktok,dumpxco,,2026-09-13T11:41:08.000Z,"Membalas @hanya148cmmaudy ayunda klarifikasi!
#maudyayunda #pasangan #keluarga #Relationship #fyp ",Video,15600,76,1,,3
https://www.tiktok.com/@orange97_/video/7684896690360536340,Tiktok,orange97_,,2026-09-13T06:04:10.000Z,SƯƠNG SƯƠNG VẬY THÔI 🥰 #CUTHE #ORANGESINGER #CMAZOR,Video,62203,"11,203",181,,436
https://www.tiktok.com/@ceritalfano/video/7685069190218255634,Tiktok,ceritalfano,,2026-09-13T17:13:36.000Z,INI UDAH ANEH BANGET JUJUR 😭😭 #beritaviral #viral #maudyayunda #politik #mbg,Video,14690,455,13,,19
https://www.tiktok.com/@tomek01737/video/7683892320009243936,Tiktok,tomek01737,,2026-09-10T13:06:37.000Z,,Video,1416,70,13,,0
https://www.tiktok.com/@werderland21/video/7684927018579823892,Tiktok,werderland21,,2026-09-13T08:01:50.000Z,#maudyayunda #warga62  #fyp #berita  #hotnews,Video,9698,73,2,,0
https://www.tiktok.com/@selvi_lovers_suramadu/video/7684062159793376533,Tiktok,selvi_lovers_suramadu,,2026-09-11T00:05:44.000Z,Selvi Ayunda (sajadah merah),Video,51265,2214,60,,27
https://www.tiktok.com/@clipfavoritmu4/video/7685079551268949269,Tiktok,clipfavoritmu4,,2026-09-13T17:53:45.000Z,maudy ayunda disebut tone deaf oleh netizen #fyp #maudyayunda #tonedeaf #maudy #lpdpbeasiswa,Video,6059,38,0,,2
https://www.tiktok.com/@raniraninnnnn/video/7684972755145510164,Tiktok,raniraninnnnn,,2026-09-13T10:59:19.000Z,FULL HARI INI ASMARA GEN Z EPISODE 667 PART 3#agzepisode667 #sinetronsctv #asmaragenzsctv #asmaragenz #fyp,Video,289185,16020,452,,425
https://www.tiktok.com/@sagivibes09/video/7684970091972267271,Tiktok,sagivibes09,,2026-09-13T10:48:58.000Z,#asmaragenz #newera #episode #terakhir,Video,84238,2883,32,,125
https://www.tiktok.com/@rumahmsglow_gayambjn/video/7682718034334715154,Tiktok,rumahmsglow_gayambjn,,2026-09-07T09:09:51.000Z,,Video,13949,500,33,,47
https://www.tiktok.com/@evaauliaa_20/video/7683508809192508679,Tiktok,evaauliaa_20,,2026-09-09T12:18:27.000Z,Cinta bgtttt sama warna coklat🤎 #fypシ゚viral,Video,609,56,1,,0
https://www.tiktok.com/@marra20_/video/7684160893436972309,Tiktok,marra20_,,2026-09-11T06:28:56.000Z,,Video,270,32,4,,0
https://www.tiktok.com/@d1h20/video/7683044205299600660,Tiktok,d1h20,,2026-09-08T06:15:37.000Z,"Meet the future of healthcare! \ud83e\ude7a✨

Halo, Semuanya!\ud83d\udc4b\ud83c\udffc✨

Satu langkah baru, satu cerita baru, dan perjalanan menuju masa depan yang penuh makna.

Perkenalkan, aku [Dinda Rizky Fadillah Rasyid], mahasiswa S1 Kedokteran, Fakultas Kedokteran, Institut Ilmu Kesehatan Bhakti Wiyata Kediri, yang berasal dari [Jawa Timur].

Menjadi bagian dari Fakultas Kedokteran adalah langkah yang aku pilih untuk terus belajar, berkembang, dan mendekatkan diri pada cita-cita.\ud83e\ude7a✨

Bersama Aruna Mandalaka, mari tumbuh, berproses, dan menciptakan cerita baru sebagai bagian dari keluarga besar Fakultas Kedokteran IIK Bhakta!

Tidak ada mimpi yang terlalu tinggi, tak ada mimpi yang patut untuk diremehkan, lambungkan setinggi yang kau igninkan dan gapailah dengan selayaknya yang kau harapakan. ~Maudy Ayunda

See you in the journey, future healthcare!\ud83c\udf31\ud83e\ude7a

Instagram: @fkbhakta

#ARUNAMANDALAKA2026 #OSMARU2026 #FKBHAKTA2026 #Kampus Kesehatan Terbaik #KampusnyaParaJuara ",Video,504,42,14,,9
https://www.tiktok.com/@cctvnetizen1/video/7682642686754426120,Tiktok,cctvnetizen1,,2026-09-07T04:17:34.000Z,#CapCut JAHAT BGT 😭💔 #masker #mahal #abuvulkanik #fyp,Video,324706,27189,558,,2298
https://www.tiktok.com/@taman.bunga__/video/7684935932423916820,Tiktok,taman.bunga__,,2026-09-13T08:36:27.000Z,dua-duanya cantik dan pintar #maudyayunda #cintalaura #wanitaindonesia #tonedeaf #beritaviral,Video,500380,28256,242,,287
