url,platform,account_name,followers,date_posted,description,content_type,views,likes,replies,retweet/repost
https://x.com/menjadianonim/status/2099635779630993726,X/Twitter,menjadianonim,407,407,@foolsbanquet Maudy Ayunda,tweet,7,,0,0
https://x.com/kriudk/status/2099635526236246066,X/Twitter,kriudk,87,87,"open vcs cs pap video real

tele: https://t.co/2g2iXChW1G 
wa:  https://t.co/PEUwG1X78n

lawan 10 laut jawa lpdp bulan sri mulyani diapain bulan maudy ayunda tidur menteri keuangan ihsg subuh
#vcs https://t.co/rjSsUDH7Tm",tweet,42,,0,0
https://x.com/cloudybunnyyyy/status/2099635062103048651,X/Twitter,cloudybunnyyyy,292,292,Jawaban seperti ini keluar dari seorang Maudy Ayunda.....,tweet,19,,0,0
https://x.com/paenutj/status/2099634485990240322,X/Twitter,paenutj,84,84,"open vcs cs pap video real

tele: https://t.co/8P9OYvcRmd 
wa:  https://t.co/MGRQw74Fu8

lawan 10 laut jawa lpdp bulan sri mulyani diapain bulan maudy ayunda tidur menteri keuangan ihsg subuh
#vcs https://t.co/kZWQ3kPKmL",tweet,152,,0,0
https://x.com/Indonesia_Truth/status/2099634425969647922,X/Twitter,Indonesia_Truth,725,725,"Detik-detik mencekam di Deli Serdang! Seorang anak berinisial D nekat mengancam orang tuanya pakai parang akibat kecanduan sabu. Saat digeledah, polisi menemukan bong di kamarnya. Kini pelaku diserahkan keluarga untuk jalani rehabilitasi.

LPDP Maudy Ayunda Menteri Keuangan https://t.co/zGTNQrr4NT",tweet,50,,0,1
https://x.com/lagvifadil7/status/2099632886861476320,X/Twitter,lagvifadil7,504,504,@tuisney Maudy Ayunda in Hijuo version anjay,tweet,14,,0,0
https://x.com/skyzmoi/status/2099631402237264383,X/Twitter,skyzmoi,51,51,"kalo gitu aku tambahin list artis buat berhenti didengerin lagu2nya +Ed Sheeran, +Maudy Ayunda",tweet,21,,0,0
https://x.com/safitririsma/status/2099631313414500672,X/Twitter,safitririsma,406,406,Seru gini liat Maudy Ayunda di goreng sampe gosong. Sampe bikin Gitasav juga turun gunung 😂😂😂,tweet,14,,0,0
https://x.com/tsetiady/status/2099630462213972178,X/Twitter,tsetiady,6762,6762,"netizen senegara lagi sensitif ketemu sama ceramah lifestyle stoak stoik, ketika semua energi dipusatin ke satu figur alih2 buat naikin bikin atensi publik ke sebuah isu masyarakat

jadilah artis maudy ayunda pun sampe kena cancel, dan sampe diulik2 beasiswa lpdp nya",tweet,49,,1,0
https://x.com/tsetiady/status/2099629173224730846,X/Twitter,tsetiady,6762,6762,"yg jadi slek2an maudy ayunda dan netizen lintas sosmed memang begitu dapat attention karena platformnya gede, tapi gak ada call to action selain dia promote highlifestyle, mindfulness etc

attention numpuk cuma ke dia thok, bukan ke isu2 bersama, dan ini backfiring bikin jd toxic",tweet,56,,1,0
https://x.com/akt29_/status/2099628416643522588,X/Twitter,akt29_,95,95,@ustadchen Kak semalem si windut ngelive nyindir maudy ayunda lhooo...🤭,tweet,172,,0,0
https://x.com/betterseekley/status/2099628189547217031,X/Twitter,betterseekley,203,203,"aih bodat pagi2 liat story temen ngebelain maudy ayunda kedoknya ""gimana sih org2 ni kl dikasi opini beda dikit lgsg nyerang"". mungkin elunya oon gabisa bedain situasi yg hrs DIPERBAIKI dari dalam dan situasi yg hrs DISIKAPI dgn mindful krn problemnya bisa hilang detik itu jg.",tweet,30,,0,0
