url,platform,account_name,followers,date_posted,description,content_type,views,likes,replies,retweet/repost
https://x.com/txtdarionlshop/status/2099776504037286152,X/Twitter,berita_diy,1969,Tue Sep 15 08:25:20 +0000 2026,"Udah mulai banyak boikot brand2 yang kerjasama sama maudy ayunda wakkk

Ini listnya :
From this island 
Oatside
Le minarale
Loreal
Pantene
 Ada yang mau nambahin?",tweet,36246,,15,91
https://x.com/gimbot75/status/2099728864729763841,X/Twitter,ExxaLatifa,2674,Tue Sep 15 05:16:38 +0000 2026,"Teruntuk Maudy Ayunda
. 
. 
. 
. 
Terima kasih kak sudah mewakili kami masyarakat Indonesia. https://t.co/Z8ddnSqeOL",tweet,35256,,11,18
https://x.com/bersuwara_/status/2099745304937636237,X/Twitter,yuliapandaa,1455,Tue Sep 15 06:23:57 +0000 2026,lagian si maudy ayunda ngedenger bad news juga masih sambil berendem di bath up pake air anget yang langsung mancur dari water heater njir lah kita mau mandi air anget aja kudu ngegodok dulu pake panci tai tai,tweet,23255,,26,342
https://x.com/naizhafr/status/2099758758864056634,X/Twitter,karyasuta,839,Tue Sep 15 07:14:49 +0000 2026,@insidefolkative yap kyk maudy ayunda. dia gak ikut jd jurkam 02 tapi dia berasal dari background keluarga kaya. and somehow she can't relate with ordinary people. terlalu nyaman dan tdk peduli sekitar.,tweet,11163,,2,4
https://x.com/reedsxe/status/2099684823946444806,X/Twitter,jupitermorns,2110,Tue Sep 15 02:25:12 +0000 2026,"maudy ayunda selasa pagii 
https://t.co/AHl0ZvfjHc https://t.co/UQDrSKRZsd",tweet,6976,,0,1
https://x.com/mandaanisah/status/2099718927312191780,X/Twitter,srufts,96,Tue Sep 15 04:37:09 +0000 2026,@itszweedy Jurnalist minta maaf ke Maudy Ayunda kalau ada berita yg d anggap buruk🤭 https://t.co/pSRsFyjNum,tweet,5780,,1,11
https://x.com/_____moey/status/2099707312441356504,X/Twitter,ketiknamaguee,16,Tue Sep 15 03:52:01 +0000 2026,"MAUDY AYUNDA BENERAN SEWA BUZZER KAH?? Buat komen di live session from this island ngakak biar ketutup hate komennya

host livenya juga hapus-hapusin komen yg suruh boycot :D https://t.co/8OcctZLyVf",tweet,5669,,2,5
https://x.com/jeglesb/status/2099687706997752056,X/Twitter,buildthecake,5,Tue Sep 15 02:34:03 +0000 2026,"maudy ayunda pagiii selasa 
https://t.co/Ax5rnvWVSt https://t.co/h8AhlXF3Wi",tweet,5326,,0,3
https://x.com/genzcorporation/status/2099668576567521416,X/Twitter,alpukatnuklir,1671,Tue Sep 15 01:16:37 +0000 2026,kondisi Indonesia before vs after nge-cancel maudy ayunda https://t.co/zA5BinPj7W,tweet,5101,,1,1
https://x.com/svegilei/status/2099674974063894895,X/Twitter,misianterpaket,486,Tue Sep 15 01:41:59 +0000 2026,"Njir adekmu no kagett km nakd

https://t.co/5tEM6FchHb

https://t.co/wdoEyUdyNS

https://t.co/Wg3sgQm9jP

Maudy Ayunda Sri Mulyani Menter Keuangan Senin LPDP Pagii Purbaya Rangga Bekerja Tanpa Lelah Menkeu peran aktif indonesia Selasa Morningg https://t.co/4TWHTmZBpM",tweet,4857,,0,11
https://x.com/ferifrendi/status/2099798368881132027,X/Twitter,MisteriDiLuarNA,12,Tue Sep 15 09:54:53 +0000 2026,@twoyulll Lah emang Maudy Ayunda cakep?,tweet,4841,,0,0
https://x.com/foolinsights/status/2099732868964708696,X/Twitter,dearakhirat,657,Tue Sep 15 05:31:56 +0000 2026,"mindfulness ala maudy ayunda, bagaimana menurut kalian? https://t.co/1wcK6zjOv9",tweet,4234,,7,11
https://x.com/gvamdu/status/2099707190471004548,X/Twitter,_____moey,579,Tue Sep 15 03:50:08 +0000 2026,Maudy Ayunda https://t.co/dZ3xyK3Rl3,tweet,4164,,1,35
https://x.com/lactovaciloos/status/2099739636080017567,X/Twitter,calamitysheir,92,Tue Sep 15 05:59:56 +0000 2026,"biksu thailand lemah iman

https://t.co/YQ1zT0qXpZ

https://t.co/fHDor7kQvg

https://t.co/yRQ3ILaYh5

https://t.co/jA6QjH0saj

Maudy Ayunda senin pagii purbaya sri Mulyani IHSG LPDP menkeu suahasil nazara bekerja tanpa lelah https://t.co/OPDoNO3YJ4",tweet,3521,,1,0
https://x.com/harusbekerja/status/2099709556314234919,X/Twitter,Meta1000xwin,350,Tue Sep 15 03:59:05 +0000 2026,"@bardanslm raditya dika anti banget ngomong sudut pandang politiknya dari awal karena lebih berhati hati. terus raditya dika sekarang lihat maudy ayunda, jadi bisa bilang ""bener kan yang gw lakuin""",tweet,3332,,0,0
