brand,display_name,tiktok_handle,tiktok_posts,instagram_handle,instagram_posts,tracked_on,notes
amaterasun,Amaterasun,amaterasun,792,amaterasun,602,Both,
avoskinbeauty,Avoskin,avoskinbeauty,344,avoskinbeauty,267,Both,
azarinecosmetic,Azarine,azarinecosmetic,2150,azarinecosmeticofficial,461,Both,
barenbliss_id,Barenbliss,barenbliss_id,2004,barenbliss_id,902,Both,
blpbeauty,Blp,blpbeauty,279,blpbeauty,375,Both,
cantikcitraid,Cantikcitra,cantikcitraid,136,cantikcitra,37,Both,
carasunid,Carasun,carasunid,214,carasun.id,155,Both,
crystallurebeauty,Crystallure,crystallurebeauty,216,crystallurebeauty,28,Both,
dearmebeauty,Dearme,dearmebeauty,355,dearmebeauty,267,Both,
eminacosmeticsid,Emina,eminacosmeticsid,1989,emina,1825,Both,"also scraped as 'Emina' (24 posts, merged)"
erhaskincare_id,Erhaskincare,erhaskincare_id,225,erha.dermatology,104,Both,
esqacosmeticsofficial,Esqa,esqacosmeticsofficial,1048,esqaddict,279,Both,
focallurebeauty,Focallure,focallurebeauty,2408,focallurebeauty,587,Both,
focalskinid,Focalskin,focalskinid,541,focalskinid,51,Both,
forskinssake,Forskinssake,forskinssake,525,forskinssake,331,Both,
glad2glow_id,Glad2Glow,glad2glow_id,2974,glad2glow,7197,Both,
glamazingofficial,Glamazing,glamazingofficial,407,glamazing.official,1433,Both,
gouteid,Goute,gouteid,106,goute.id,1130,Both,
gueleid,Guele,gueleid,281,guele.id,231,Both,
imploracosmetics,Implora,imploracosmetics,3717,imploracosmetics,1,Both,
instaperfect_id,Instaperfect,instaperfect_id,421,instaperfect,512,Both,
itsomgbeauty,Itsomg,itsomgbeauty,1203,itsomgbeauty,2689,Both,
jacquelle_official,Jacquelle,jacquelle_official,172,jacquelle_official,336,Both,
judydollindonesia,Judydoll,judydollindonesia,2341,judydollindonesia,822,Both,
kahfeveryday,Kahfeveryday,kahfeveryday,2796,kahfeveryday,948,Both,
laboreskinexpert,Laboreskinexpert,laboreskinexpert,858,laboreskinexpert,70,Both,
luxcrime_id,Luxcrime,luxcrime_id,570,luxcrime_id,378,Both,
madamegiecosmetic,Madamegie,madamegiecosmetic,1182,madame.gie,819,Both,
makeoverid,Makeover,makeoverid,3049,makeoverid,2263,Both,
mineralbotanica,Mineralbotanica,mineralbotanica,269,mineralbotanica,48,Both,
mopbeauty,Mop,mopbeauty,668,mop.beauty,634,Both,
msglowbeauty,Msglow,msglowbeauty,2633,msglowbeauty,1634,Both,
mustikaratuind_,Mustikaratu,mustikaratuind_,442,mustikaratuind,460,Both,
mykonos,Mykonos,mykonos,486,officialmykonos,636,Both,
nivea_id,Nivea,nivea_id,1093,nivea_id,655,Both,
officialhanasui,Officialhanasui,officialhanasui,2220,officialhanasui,1790,Both,
pinkflashbeauty,Pinkflash,pinkflashbeauty,1573,pinkflashcosmetics,671,Both,
pixycosmeticsindonesia,Pixy,pixycosmeticsindonesia,1503,pixycosmetics,1553,Both,
pondsindonesia,Ponds,pondsindonesia,1451,pondsindonesia,1746,Both,
pondsmen_id,Pondsmen,pondsmen_id,287,pondsmenid,6,Both,
rolloverreaction,Rolloverreaction,rolloverreaction,228,rollover.reaction,1,Both,
rosealldayco,Roseallday,rosealldayco,439,roseallday.co,485,Both,
skintific_official,Skintific,skintific_official,1556,skintificid,2533,Both,
somethincmakeup,Somethincmakeup,somethincmakeup,615,somethincmakeup,178,Both,
somethincofficial,Somethinc,somethincofficial,753,somethincofficial,1167,Both,
studiotropik,Studiotropik,studiotropik,210,studiotropik,110,Both,
timephoriaid,Timephoria,timephoriaid,2842,timephoriaid,1226,Both,
vaselineid,Vaseline,vaselineid,490,vaselineid,3456,Both,
velixirparfums,Velixirparfums,velixirparfums,452,velixirparfums,258,Both,
vivacosmetics,Viva,vivacosmetics,2011,viva.cosmetics,630,Both,
wardahofficial,Wardah,wardahofficial,3428,wardahbeauty,9065,Both,
whitelabid,Whitelab,whitelabid,154,whitelab_id,492,Both,
worldoftavi,Worldoftavi,worldoftavi,722,worldoftavi,1325,Both,
youbeauty_id,You,youbeauty_id,383,youbeauty_idn,600,Both,
animateofficial.id,Animate,,0,animateofficial.id,149,Instagram only,
barberdaily.co,Barberdaily,,0,barberdaily.co,126,Instagram only,
biodef.id,Biodef,,0,biodef.id,95,Instagram only,
cbdprofessional,Cbdprofessional,,0,cbdprofessional,14,Instagram only,
clearindonesia,Clear,,0,clearindonesia,39,Instagram only,
deoxide.official,Deoxide,,0,deoxide.official,34,Instagram only,
dermascalpexpert,Dermascalpexpert,,0,dermascalpexpert,470,Instagram only,
enchen.indonesia,Enchen,,0,enchen.indonesia,56,Instagram only,
facerinnaid,Facerinna,,0,facerinnaid,960,Instagram only,
facetologyofficial,Facetology,,0,facetologyofficial,366,Instagram only,
finallyfoundyou.id,Finallyfoundyou,,0,finallyfoundyou.id,790,Instagram only,
gloowandbe,Gloowandbe,,0,gloowandbe,455,Instagram only,
glowfxbeauty,Glowfx,,0,glowfxbeauty,25,Instagram only,
headandshouldersid,Headandshoulders,,0,headandshouldersid,11,Instagram only,
hmns.id,Hmns,,0,hmns.id,347,Instagram only,
kimeskincare,Kimeskincare,,0,kimeskincare,449,Instagram only,
larocheposay.indonesia,Larocheposay,,0,larocheposay.indonesia,8,Instagram only,
lightplus,Lightplus,,0,lightplus,2363,Instagram only,
lorealindonesia,Loreal,,0,lorealindonesia,220,Instagram only,
lorealpro_education_indonesia,Lorealpro Education,,0,lorealpro_education_indonesia,8,Instagram only,
makarizo.hairenergy,Makarizo Hairenergy,,0,makarizo.hairenergy,90,Instagram only,
miraelsugarwax,Miraelsugarwax,,0,miraelsugarwax,16,Instagram only,
msglowformen,Msglowformen,,0,msglowformen,466,Instagram only,
nextprime.official,Nextprime,,0,nextprime.official,597,Instagram only,
niveamen_id,Niveamen,,0,niveamen_id,133,Instagram only,
octarine.official,Octarine,,0,octarine.official,363,Instagram only,
olayindonesia,Olay,,0,olayindonesia,1,Instagram only,
putri.hairchoice,Putri Hairchoice,,0,putri.hairchoice,461,Instagram only,
raeccaid,Raecca,,0,raeccaid,141,Instagram only,
royalebysoklin,Royalebysoklin,,0,royalebysoklin,114,Instagram only,
saffnco,Saffn,,0,saffnco,279,Instagram only,
scoraofficial,Scora,,0,scoraofficial,302,Instagram only,
skin1004_indonesia,Skin1004,,0,skin1004_indonesia,1078,Instagram only,
sombong.id,Sombong,,0,sombong.id,65,Instagram only,
somebymi.official_id,Somebymi,,0,somebymi.official_id,65,Instagram only,
theoriginote,Theoriginote,,0,theoriginote,348,Instagram only,
zinc_id,Zinc,,0,zinc_id,2,Instagram only,
